UID        PID  PPID  C STIME TTY          TIME CMD
root      1008     1  0 20:11 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1027     1  0 20:11 ?        00:00:00 /usr/sbin/lightdm
root      1036  1027  0 20:11 tty7     00:00:44 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1055     1  0 20:11 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      1068     1  0 20:11 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1168  1027  0 20:11 ?        00:00:00 lightdm --session-child 12 19
rtkit     1231     1  0 20:11 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
whoopsie  1254     1  0 20:11 ?        00:00:00 /usr/bin/whoopsie -f
root      1273     1  0 20:11 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      1281     2  0 20:11 ?        00:00:00 [iprt-VBoxWQueue]
root      1286     2  0 20:11 ?        00:00:00 [iprt-VBoxTscThr]
minidlna  1322     1  0 20:11 ?        00:00:00 /usr/sbin/minidlnad -f /etc/minidlna.conf -P /run/minidlna/minidlna.pid
shashi    1483     1  0 20:11 ?        00:00:00 /lib/systemd/systemd --user
shashi    1484  1483  0 20:11 ?        00:00:00 (sd-pam)
shashi    1489     1  0 20:11 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
shashi    1491  1168  0 20:11 ?        00:00:00 /sbin/upstart --user
root      1515   908  0 20:11 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-wlp3s0.pid -lf /var/lib/NetworkManager/dhclient-aa934bca-370b-4fe7-b6cb-400fbdea2157-wlp3s0.lease -cf /var/lib/NetworkManager/dhclient-wlp3s0.conf wlp3s0
nobody    1574   908  0 20:11 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
shashi    1633  1491  0 20:11 ?        00:00:00 upstart-udev-bridge --daemon --user
shashi    1641  1491  0 20:11 ?        00:00:03 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-6Kv1wbzyjE
shashi    1653  1491  0 20:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
shashi    1688  1491  0 20:11 ?        00:00:07 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
shashi    1692  1491  0 20:11 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
shashi    1695  1491  0 20:11 ?        00:00:01 upstart-dbus-bridge --daemon --session --user --bus-name session
shashi    1701  1491  0 20:11 ?        00:00:00 upstart-file-bridge --daemon --user
shashi    1705  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfsd
shashi    1710  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
shashi    1719  1688  0 20:11 ?        00:00:00 /usr/lib/ibus/ibus-dconf
